property_type,location,bed,bath,total_sqft,price
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,350 sqft","7,020,000"
Apartment,"Salimullah Road, Mohammadpur, Dhaka",3,3,"1,350 sqft","9,450,000"
Apartment,"Salimullah Road, Mohammadpur, Dhaka",3,3,"1,350 sqft","9,450,000"
Apartment,"Salimullah Road, Mohammadpur, Dhaka",3,3,"1,350 sqft","9,450,000"
Apartment,"Jigatola, Hazaribag, Dhaka",2,2,630 sqft,"3,780,000"
Apartment,"New Elephant Road, Hatirpool, Dhaka",3,4,"1,350 sqft","8,000,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,250 sqft","6,500,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,350 sqft","7,020,000"
Apartment,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3,2,"1,200 sqft","6,700,000"
Apartment,"Section 6, Mirpur, Dhaka",2,2,865 sqft,"4,750,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,280 sqft","6,656,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,300 sqft","6,760,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"DIT Road, Malibagh, Dhaka",3,3,"1,225 sqft","9,300,000"
Apartment,"Section 2, Mirpur, Dhaka",3,3,"1,400 sqft","6,500,000"
Apartment,"Tejkunipara, Tejgaon, Dhaka",3,3,"1,287 sqft","8,500,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,4,"2,000 sqft","12,500,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,280 sqft","6,656,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,280 sqft","6,656,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,100 sqft","5,720,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,350 sqft","7,020,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,100 sqft","5,720,000"
